# KG estratto dalle lezioni BigBang di Prometeo
# Relazioni: SIMILAR_TO (cluster Kaikki), OPPOSITE_OF (antonimi)
# soggetto	RELAZIONE	oggetto
dispiaciuto	OPPOSITE_OF	contento
disponibile	OPPOSITE_OF	indisponibile
disprezzabile	OPPOSITE_OF	lodevole
disprezzabile	OPPOSITE_OF	plausibile
disprezzare	OPPOSITE_OF	apprezzare
disprezzare	OPPOSITE_OF	pregiare
dissennatezza	OPPOSITE_OF	cognizione
dissennato	OPPOSITE_OF	saggio
dissolubile	OPPOSITE_OF	indissolubile
dissoluto	OPPOSITE_OF	parco
distinto	OPPOSITE_OF	indistinto
distopia	OPPOSITE_OF	utopia
distruggere	OPPOSITE_OF	costruire
disuguaglianza	OPPOSITE_OF	uguaglianza
disuguale	OPPOSITE_OF	uguale
diurno	OPPOSITE_OF	notturno
diuturno	OPPOSITE_OF	effimero
divergere	OPPOSITE_OF	convergere
diversificare	OPPOSITE_OF	assomigliarsi
diverso	OPPOSITE_OF	uguale
divertente	OPPOSITE_OF	noioso
dividere	OPPOSITE_OF	moltiplicare
dividere	OPPOSITE_OF	unificare
divisibile	OPPOSITE_OF	indivisibile
diviso	OPPOSITE_OF	indiviso
docile	OPPOSITE_OF	accanito
docile	OPPOSITE_OF	indocile
dolce	OPPOSITE_OF	acre
dolce	OPPOSITE_OF	amaro
doloroso	OPPOSITE_OF	indolore
domanda	OPPOSITE_OF	offerta
donna	OPPOSITE_OF	ragazza
donna	OPPOSITE_OF	uomo
doppio	OPPOSITE_OF	scempio
dorare	OPPOSITE_OF	sdorare
dovuto	OPPOSITE_OF	indebito
dozzinale	OPPOSITE_OF	grazioso
drammaticità	OPPOSITE_OF	comicità
drammatizzare	OPPOSITE_OF	sdrammatizzare
dritta	OPPOSITE_OF	sinistra
dritto	OPPOSITE_OF	mancino
dritto	OPPOSITE_OF	sinistro
dritto	OPPOSITE_OF	storto
dubbio	OPPOSITE_OF	indubbio
dubbio	OPPOSITE_OF	sicuro
duro	OPPOSITE_OF	soffice
duro	OPPOSITE_OF	tenero
ebbrezza	OPPOSITE_OF	sobrietà
eccepibile	OPPOSITE_OF	ineccepibile
ecclesiastico	OPPOSITE_OF	secolare
economico	OPPOSITE_OF	caro
economico	OPPOSITE_OF	costoso
effettivo	OPPOSITE_OF	ineffettivo
effettivo	OPPOSITE_OF	inefficace
effettivo	OPPOSITE_OF	inutile
efficace	OPPOSITE_OF	inefficace
efficacia	OPPOSITE_OF	inefficacia
efficiente	OPPOSITE_OF	inefficiente
efficienza	OPPOSITE_OF	inefficienza
effimero	OPPOSITE_OF	diuturno
effimero	OPPOSITE_OF	eterno
effimero	OPPOSITE_OF	immortale
egoismo	OPPOSITE_OF	altruismo
eleggibile	OPPOSITE_OF	ineleggibile
eludibile	OPPOSITE_OF	ineludibile
emersione	OPPOSITE_OF	immersione
emigrare	OPPOSITE_OF	immigrare
emigrato	OPPOSITE_OF	immigrato
emigrazione	OPPOSITE_OF	immigrazione
energico	OPPOSITE_OF	lasso
entrata	OPPOSITE_OF	congedo
entrata	OPPOSITE_OF	partenza
entrata	OPPOSITE_OF	uscita
equivocabile	OPPOSITE_OF	inequivocabile
errato	OPPOSITE_OF	corretto
errato	OPPOSITE_OF	esatto
errato	OPPOSITE_OF	giusto
esatto	OPPOSITE_OF	approssimativo
esatto	OPPOSITE_OF	errato
esatto	OPPOSITE_OF	inesatto
esatto	OPPOSITE_OF	scorretto
esauribile	OPPOSITE_OF	inesauribile
esigibile	OPPOSITE_OF	inesigibile
esile	OPPOSITE_OF	grasso
esistente	OPPOSITE_OF	inesistente
esistenza	OPPOSITE_OF	inesistenza
esoterico	OPPOSITE_OF	essoterico
esperto	OPPOSITE_OF	inesperto
esplicito	OPPOSITE_OF	implicito
esplosione	OPPOSITE_OF	implosione
esportazione	OPPOSITE_OF	importazione
essenziale	OPPOSITE_OF	inessenziale
essenziale	OPPOSITE_OF	secondario
essenziale	OPPOSITE_OF	superfluo
essoterico	OPPOSITE_OF	esoterico
esterno	OPPOSITE_OF	interno
estraneo	OPPOSITE_OF	casalingo
estraneo	OPPOSITE_OF	familiare
estraneo	OPPOSITE_OF	pertinente
estrinseco	OPPOSITE_OF	intrinseco
eterno	OPPOSITE_OF	effimero
eterogeneo	OPPOSITE_OF	omogeneo
eterologo	OPPOSITE_OF	autologo
eterologo	OPPOSITE_OF	omologo
europeo	OPPOSITE_OF	extraeuropeo
evitabile	OPPOSITE_OF	inevitabile
evoluzione	OPPOSITE_OF	involuzione
extraeuropeo	OPPOSITE_OF	europeo
facile	OPPOSITE_OF	complicato
facile	OPPOSITE_OF	difficile
facoltativo	OPPOSITE_OF	inderogabile
facoltativo	OPPOSITE_OF	obbligatorio
fallibile	OPPOSITE_OF	infallibile
fallire	OPPOSITE_OF	riuscire
familiare	OPPOSITE_OF	estraneo
fanciullo	OPPOSITE_OF	adulto
fascismo	OPPOSITE_OF	antifascismo
fascista	OPPOSITE_OF	antifascista
fattibile	OPPOSITE_OF	impossibile
fattibile	OPPOSITE_OF	infattibile
fattibile	OPPOSITE_OF	irrealizzabile
fattibilità	OPPOSITE_OF	impraticabilità
fattibilità	OPPOSITE_OF	irrealizzabilità
favore	OPPOSITE_OF	antipatia
favorevole	OPPOSITE_OF	contrario
fecondo	OPPOSITE_OF	arido
fedele	OPPOSITE_OF	infedele
fedele	OPPOSITE_OF	traditore
fedeltà	OPPOSITE_OF	infedeltà
felice	OPPOSITE_OF	inappropriato
felice	OPPOSITE_OF	infelice
felice	OPPOSITE_OF	meschino
felice	OPPOSITE_OF	misero
felice	OPPOSITE_OF	sfortunato
felicità	OPPOSITE_OF	infelicità
femminile	OPPOSITE_OF	maschile
femminile	OPPOSITE_OF	mascolino
femminile	OPPOSITE_OF	virile
fermare	OPPOSITE_OF	muovere
fermo	OPPOSITE_OF	vago
ferrare	OPPOSITE_OF	sferrare
fertile	OPPOSITE_OF	infertile
fetere	OPPOSITE_OF	aulire
fetore	OPPOSITE_OF	profumo
fidato	OPPOSITE_OF	infedele
fiducia	OPPOSITE_OF	diffidenza
fiducia	OPPOSITE_OF	sfiducia
fiducioso	OPPOSITE_OF	diffidente
fifone	OPPOSITE_OF	coraggioso
finale	OPPOSITE_OF	iniziale
finire	OPPOSITE_OF	avanzare
finire	OPPOSITE_OF	cominciare
finire	OPPOSITE_OF	incominciare
finito	OPPOSITE_OF	infinito
fisso	OPPOSITE_OF	vago
flessibile	OPPOSITE_OF	inflessibile
fondato	OPPOSITE_OF	infondato
formale	OPPOSITE_OF	informale
forte	OPPOSITE_OF	debole
forte	OPPOSITE_OF	piano
fortificare	OPPOSITE_OF	accasciare
fortuna	OPPOSITE_OF	sfortuna
fortunato	OPPOSITE_OF	meschino
fortunato	OPPOSITE_OF	misero
fortunato	OPPOSITE_OF	sfortunato
franco	OPPOSITE_OF	tortuoso
freddo	OPPOSITE_OF	appassionato
freddo	OPPOSITE_OF	bollente
freddo	OPPOSITE_OF	caldo
freddo	OPPOSITE_OF	cocente
freddo	OPPOSITE_OF	incandescente
frequente	OPPOSITE_OF	infrequente
frequente	OPPOSITE_OF	raro
frequente	OPPOSITE_OF	sporadico
fresco	OPPOSITE_OF	asciutto
frontale	OPPOSITE_OF	posteriore
furbo	OPPOSITE_OF	sciocco
futuro	OPPOSITE_OF	passato
gagliardo	OPPOSITE_OF	lasso
gelato	OPPOSITE_OF	bollente
gelido	OPPOSITE_OF	cocente
gelido	OPPOSITE_OF	incandescente
generale	OPPOSITE_OF	particolare
generosità	OPPOSITE_OF	avarizia
generosità	OPPOSITE_OF	taccagneria
generosità	OPPOSITE_OF	tirchieria
gestibile	OPPOSITE_OF	ingestibile
ghiacciato	OPPOSITE_OF	incandescente
ghiaccio	OPPOSITE_OF	bollente
ghiaccio	OPPOSITE_OF	caldo
giorno	OPPOSITE_OF	notte
